pair_id,product_image,ref_image,product_title
0001,p001.png,r044.png,"ORICO USB4 SSD Enclosure for Thunderbolt 4/3, M.2 NVMe SSD, Mac mini and Laptops, Model TCM2"
0002,p002.png,r011.png,"Haier 620L Side-by-Side Refrigerator with Large Freezer Space, Black-Gold Purification, Precision Air Cooling, Dual Inverter, Model BCD-620WLHSSEDB9"
0003,p003.png,r183.png,"HEGEN PPSU Straw Training Cup for Ages 1-3, 330ml, Multifunctional Kids Drinking Cup, Blue"
0004,p004.png,r037.png,"Haier Little Red Flower Series Frost-Free Freezer, 200L+, -38°C Ultra-Low Temperature, Model BC/BD-201WGHED"
0005,p005.png,r025.png,"UGREEN 100W Power Bank, 20000mAh Laptop Fast Charger, PD Fast Charging, Flight-Approved Portable Power Source"
0006,p006.png,r036.png,"STELANG 517EC Semi-Automatic Espresso Machine with Grinder and Milk Frother, Integrated Grind-and-Brew Design, Off-White"
0007,p007.png,r094.png,"Morphy Richards MR1158 Electric Steamer and Stewing Pot, 12L Large Capacity, Multifunctional Cooking Pot, Blue"
0008,p008.png,r149.png,"Hbada E3Air 4th Gen Ergonomic Chair, Office and Gaming Reclining Computer Chair"
0009,p009.png,r020.png,"Red Dragonfly Men's Thick-Soled Height-Increasing Business Dress Shoes, Cowhide Casual Leather Shoes, Black, WTA343201, Size 42"
0010,p010.png,r113.png,"Haier 60L Electric Water Heater, 3300W, Live-Water Wash, No-Replacement Magnesium Rod, Class 1 Energy Efficiency, Model FW3U1"
0011,p011.png,r007.png,"CASDON Integrated Stove with Steaming and Baking Oven, Gas Cooktop, Right-Side Exhaust for Natural Gas, Model JJZT-B2S9-T2E Pro"
0012,p012.png,r071.png,"Xiaomi Redmi Book 14 2025 Lightweight Laptop, Intel Core 5-220H, High-Performance Office Notebook"
0013,p013.png,r046.png,"ERKE Women's Breathable Mesh Sports Shoes, Lightweight Soft-Soled Casual Running Shoes, Jie'sao 3.0"
0014,p014.png,r016.png,"TCL 65T6L-C 65-inch QD-Mini LED QLED TV, Quantum Dot, 1100 nits XDR"
0015,p015.png,r162.png,"HP GK400F Mechanical Keyboard and Mouse Combo, Wired Office and Gaming Set, Silver with Ice Blue Backlight, Red Switch, USB"
0016,p016.png,r057.png,"Insta360 GO 3S 4K Thumb Camera, Vlog Action Camera for Cycling, Kids, Pets and Sports, Standard Kit, White, 64GB"
0017,p017.png,r165.png,"KARCHER KHB Air Cordless Folding Car Washer, Handheld Lithium Battery Water Gun, 100W"
0018,p018.png,r093.png,"DREAM RANGER Foldable Water Cup, Portable Outdoor Camping and Travel Cup, Food-Grade Silicone, Orange, 600ml"
0019,p019.png,r159.png,"SUPOR Electric Cooking Pot, Mini Hot Pot and Steamer for Dorm Use, 1.7L with Steamer Basket, Nonstick, Steam Above and Boil Below"
0020,p020.png,r189.png,"JOMOO Smart Toilet Set, UVC Sterilization, Magic Foam, NFC, Full Water-Path Purification, 305mm Rough-In, Model ZS780"
0021,p021.png,r033.png,"Jijintong Hilton Hotel Mattress, 30cm Latex Pocket Spring Mattress, Double-Sided, Model A, 0.9m x 1.9m"
0022,p022.png,r118.png,"YERENTANG Thai Imported Fragrance Shampoo and Conditioner, Oil Control, Volumizing, Anti-Dandruff, Floral Veil, 500ml"
0023,p023.png,r095.png,"FULL MONTY Washed Cotton Twill Casual Pants for Men, Light Khaki Business Casual Trousers, 2024 Autumn/Winter, 2XL"
0024,p024.png,r034.png,"DJI Pocket 3 Osmo Pocket Gimbal Camera for Vlog, Travel and Beauty Video, Standard Kit + 256GB Card, Fast Focus"
0025,p025.png,r097.png,"Insulated Stainless Steel Lunch Box with Lid, Large-Capacity Bento Box for Office and Students, 2-Tier, Off-White"
0026,p026.png,r150.png,"Tianyuyun Handbag Wagon, Ultra-Light Foldable Camping Cart, 100L, Brilliant Orange"
0027,p027.png,r166.png,"MAXCOOK 304 Stainless Steel Breakfast Cup, Portable Oatmeal and Soup Cup with Lid, Spoon and Straw, Coral Red, 550ml"
0028,p028.png,r104.png,"AKALU Saffron Feminine Care Essential Oil, Intimate Care and Firming Oil, 50ml"
0029,p029.png,r022.png,"Khadas Mind 2 AI Mini Workstation, Ultra-Light Portable Mini PC, Ultra 7 155H, 32GB+1TB"
0030,p030.png,r082.png,"Mijia H40 Robot Vacuum and Mop, Anti-Tangle, App-Controlled, Self-Cleaning Mop, All-in-One Sweeping and Mopping Robot"
0031,p031.png,r050.png,"ECOFLOW RIVER 3 Portable Power Station, 76800mAh, 300W, 245Wh, Compact Outdoor and Dorm Backup Power Supply"
0032,p032.png,r038.png,"INAIR 2 Pro + Pod AR Spatial Computer and AR Glasses, AI Glasses with PC Streaming, 3DoF Spatial Hover, Stepless Electrochromic Dimming"
0033,p033.png,r080.png,"COACH CITY Tote Bag 33 for Women, Classic Signature Monogram Tote, Sand/Gray Brown"
0034,p034.png,r075.png,"SHEYIN X9 True Bone Conduction Bluetooth Headphones, Professional Swimming Earphones, IPX8 Waterproof, 32GB Dual Mode"
0035,p035.png,r186.png,"Morphy Richards Instant Hot Water Purifier, Countertop RO Reverse Osmosis Water Purifier and Kettle, Model MR6051, Gray"
0036,p036.png,r137.png,"DELIXI Rechargeable Water Pump for Irrigation and Garden Watering, 9-Battery Version with 5m Explosion-Proof Hose"
0037,p037.png,r168.png,"Matte Nordic Vertical-Rib Ceramic Flower Pot, Green, Medium 13 x 13 x 12.3cm"
0038,p038.png,r100.png,"PANDA CD-67 All-in-One CD Player and Speaker System, Desktop Bluetooth Audio Player, White"
0039,p039.png,r135.png,"Robam 60A0 Range Hood, Touch Control, 23m³/min Top-Suction Cooker Hood, Easy-Clean Inner Cavity, Natural Gas Version"
0040,p040.png,r148.png,"Jiedentai High-Speed Leafless Hair Dryer, Quiet Negative-Ion Hair Dryer with Constant-Temperature Hair Care, Rose Red"
0041,p041.png,r188.png,"Liyi Jiujiu Alpaca Massage Pillow, Full-Body Massage Cushion with Red-Light Heat Therapy"
0042,p042.png,r139.png,"joyself Akoya Saltwater Pearl Necklace, Round High-Luster Pearl Collar Necklace, 9-9.5mm, 18K Gold Clasp"
0043,p043.png,r133.png,"RAIJODA Ultra-Light Iron Wok, Coating-Free Nonstick Frying Pan, 30cm, Pre-Seasoned with Lid"
0044,p044.png,r117.png,"Wilderness Shiguang Automatic Pop-Up Tent, Portable Folding Camping Tent, Rainproof and Sunproof, 2-3 Person"
0045,p045.png,r026.png,"DJI Osmo Action 4 Sports Camera, Stabilized Outdoor Vlog Camera for Riding and Diving, Standard Kit"
0046,p046.png,r124.png,"BIGME HiBreak 5.84-inch Color E-Ink Smart Reader Phone, 6GB+128GB"
0047,p047.png,r161.png,"Viken Air Over-Ear Bluetooth Headphones, Active Noise Cancellation, Personalized Spatial Audio, Pods Max 2 Style"
0048,p048.png,r167.png,"Tianjiang Handmade Silk Persian Carpet, Multiple Sizes, No. 25, 270 x 370cm"
0049,p049.png,r144.png,"Fangxingweiai Foldable Desk, No-Assembly Home Computer Desk, Haze Blue, 70 x 44.5 x 75cm"
0050,p050.png,r042.png,"Phoenix Electric Bicycle, Long-Range Adult E-Bike, L8 Beige, 48V 6Ah, 26-inch, 7-Speed, 24km Range"
0051,p051.png,r032.png,"Foldable Baby Bathtub for Newborns and Kids, Touch Temperature Display, Volcano Gray with Bath Stand"
0052,p052.png,r179.png,"Feichi Rapid IPL Hair Removal Device, Ice Jade Gen 2, Fast Flash Home Hair Remover"
0053,p053.png,r160.png,"CELV Men's Backpack, Lightweight Large-Capacity Travel and Laptop Backpack, Water-Resistant, Gray, 30 x 45 x 15cm"
0054,p054.png,r040.png,"FEIRSH Inflatable Mattress with Built-In Pump, Portable Camping Air Bed, Single Size 25cm with Peach-Skin Inflatable Pillow"
0055,p055.png,r005.png,"Haier Washer-Dryer Combo, 10kg Full-Automatic Front Load Washing Machine with AI Six-Dimensional Shock Reduction, Wash Ratio 1.1"
0056,p056.png,r163.png,"ASUS ROG XG27UCG 27-inch 4K Gaming Monitor, 4K 160Hz / FHD 320Hz Dual Mode, HDR400, HDMI 2.1"
0057,p057.png,r106.png,"Ruchu Tmall Genie Magnetic Levitation Globe, Rechargeable Educational Globe Gift for Kids"
0058,p058.png,r199.png,"Kashiyi Sofa Bed, Multifunctional Pull-Out Fabric Sofa for Small Apartments, 1.4m, High-Density Foam + Suede"
0059,p059.png,r096.png,"DJI Neo Palm-Size Vlog Drone, 4K Mini Aerial Camera, Three-Battery Combo, Standard Version"
0060,p060.png,r089.png,"Huawei WiFi 3 Pro Portable Mobile Hotspot, Tri-Network 4G/5G Pocket Router, Dual-Band, MT33"
0061,p061.png,r182.png,"KUKA Home Computer Chair, Comfortable Ergonomic Office and Leisure Chair, Sunset Orange, Fixed Armrests"
0062,p062.png,r067.png,"iFLYTEK Translation Earbuds, Wireless Bluetooth Simultaneous Interpretation Earphones, Model B11, Black"
0063,p063.png,r110.png,"EDIFIER HECATE G2 Pro Gaming Headset, 7.1 Surround Sound, Noise-Canceling Mic, USB, Pink Cat-Ear Edition"
0064,p064.png,r129.png,"Authentic Fuling Shredded Pickled Mustard Tuber, Ready-to-Eat Side Dish, Yuyang, 10 Bags"
0065,p065.png,r123.png,"Mr. Nanchu New Chinese Style Orchid Bronze Ornament, Elegant Home and Office Décor"
0066,p066.png,r052.png,"Fresh Free-Range Eggs, Farm Eggs, Selected 20 Pieces"
0067,p067.png,r001.png,"RALEIGH Folding Bicycle, Ultra-Light Portable Commuter Bike, Dark Purple, 16-inch, 7-Speed"
0068,p068.png,r059.png,"Lenovo Legion R7000 2025 Gaming Laptop, Ryzen R7-8745H, 16GB+512GB, RTX 4060, 15.6-inch Gaming Display"
0069,p069.png,r193.png,"Chuidaohuang Silicone Spatula for Nonstick Woks and Frying Pans, Heat-Resistant with Comfortable Grip"
0070,p070.png,r174.png,"Spalding TF-1000 Indoor Game Basketball, Moisture-Absorbing Cover, Model 74-716A"
0071,p071.png,r073.png,"MAXCOOK 30cm Iron Wok, Coating-Free Frying Pan for Gas and Induction Cooktops, Model MDB-30"
0072,p072.png,r127.png,"Nongfu Spring Natural Drinking Water for Infants and Young Children, 1L x 12 Bottles"
0073,p073.png,r045.png,"Theland Grass-Fed Full Cream Milk, 3.5g Protein, High Calcium, 250ml x 24, Imported from New Zealand"
0074,p074.png,r023.png,"Jinxiangyu Yixing Purple Clay Cup, Large-Capacity Tea Cup with Landscape Carving, Approx. 450ml"
0075,p075.png,r041.png,"La Roche-Posay Toleriane Cleanser 125ml, Gentle Foaming Facial Cleanser and Makeup Remover"
0076,p076.png,r043.png,"KUYURA Body Wash 550ml, Fragrant Moisturizing Shower Gel, Yellow Bottle"
0077,p077.png,r187.png,"Devondale Adult Milk Powder, High Calcium, No Added Sucrose, Skim Milk Powder, 1kg, Imported from Australia"
0078,p078.png,r120.png,"Pengyou Folding Bed, Solid Wood Single Bed for Office Naps and Home Use, 1.2m Wide, Model PY-ZD12"
0079,p079.png,r099.png,"Longines DolceVita Women's Swiss Quartz Watch with Steel Bracelet, Model L42094116"
0080,p080.png,r058.png,"SanDisk CZ73 128GB USB Flash Drive, Secure Encryption and Data Recovery, Metal USB Drive"
0081,p081.png,r035.png,"Kangaroo Mommy Bird's Nest Cushion CC Cream for Expectant Mothers, Natural Shade, with Refill"
0082,p082.png,r006.png,"Yokohama Tire 215/55R17 94V E70B, OE for GAC Honda Vezel, Odyssey, Camry and Hybrid"
0083,p083.png,r076.png,"SEPTWOLVES Men's Cotton Tank Tops, High-Stretch Breathable Sports Vests, 2-Pack"
0084,p084.png,r196.png,"Yalu Antibacterial Fiber Summer Quilt / Air-Conditioning Comforter, 150 x 200cm, Light Gray"
0085,p085.png,r115.png,"Jiayi Solid Wood Coat Rack, Freestanding Clothes Hanger and Storage Rack"
0086,p086.png,r070.png,"BULL Power Strip with Individual Switches, 4 Outlets, 3m Cable, Model GN-B3043"
0087,p087.png,r024.png,"MISSHA M Perfect Cover BB Cream SPF42/PA+++, No. 21, Classic Red BB"
0088,p088.jpg,r132.png,"Wei Chuan Wandan Shelf-Stable Milk, Non-Standardized Fat, 200ml"
0089,p089.jpg,r140.png,"SENTOSA Goat Milk Powder, 800g"
0090,p090.jpg,r131.png,"Taiwan Sixiu Crispy Salted Winter Bamboo Shoot Crackers, 25g x 10 Packs"
0091,p091.jpg,r012.png,"Ve Wong Prince Noodles, Original Flavor, 40g x 5 Packs"
0092,p092.jpg,r028.png,okamoto 003 PLATINUM Ultra-Thin Condoms
0093,p093.jpg,r039.png,"Anchor Full Cream Milk, 1L"
0094,p094.jpg,r157.png,"Chung Hsiang Qiaoxin Soda Crackers with Nougat Filling, Original Flavor, 145g"
0095,p095.jpg,r074.png,"Amei Mochi Cake, Original Flavor, 350g"
0096,p096.jpg,r061.png,"Lian Hwa Foods Assorted Snack Box, 39 Packs"
0097,p097.jpg,r068.png,"Dr.P Adult Underpads XL, 8 Sheets, 60 x 90cm"
0098,p098.png,r051.png,"Galanz P70F23P-G5(S0) 23L Microwave Oven, Knob Control, Flatbed Heating, Six Power Levels"
0099,p099.png,r176.png,"Snowhite Direct-Liquid Rollerball Gel Pen, Black, 12-Pack, Model PVR-155"
0100,p100.png,r010.png,"Danisa Danish Butter Cookies with Raisins, 90g, Imported from Indonesia"
